10.2.12.10;"Microsoft Azure Shared Components for Visual Studio 2012 - v1.4";"20150611";"1.4";"1.4.30416.1601";"Microsoft Corporation"
10.2.12.10;"Roslyn Language Services - x86";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 Native Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"20150325";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Team Explorer for Microsoft Visual Studio 2015 RC";"20150611";"14.0";"14.0.22821";"Microsoft Corporation"
10.2.12.10;"WCF Data Services Tools for Microsoft Visual Studio 2012";"20150610";"5.0";"5.0.50710.0";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools X64 ARM Cross Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;" Tools for .Net 3.5";"20150610";"3.11";"3.11.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2012 Preparation";"20150610";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET Web Pages - Visual Studio Express 2012 for Web - PTB";"20150611";"1.0";"1.0.20710.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 Core Libraries For Windows Phone";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"DameWare Mini Remote Control 8.0";"20131028";"8.0";"8.0.1.151";"SolarWinds"
10.2.12.10;"Microsoft Silverlight 4 SDK";"20150610";"4.0";"4.0.60310.0";"Microsoft Corporation"
10.2.12.10;"Citrix Receiver(SSON)";"20150201";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.12.10;"Microsoft .NET Framework 4.5.1 SDK";"20150611";"4.5";"4.5.51641";"Microsoft Corporation"
10.2.12.10;"Entity Framework 6.1.3 Tools  for Visual Studio 2015";"20150611";"14.0";"14.0.40302.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Express 2013 para Web - PTB";"20150611";"12.0";"12.0.21005";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server 2012 Data-Tier App Framework ";"20150611";"11.1";"11.1.2902.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer Language Pack - ENU";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Expression Blend SDK for Silverlight 4";"20150611";"2.0";"2.0.20525.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2012 Preparation";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Microsoft Report Viewer Add-On for Visual Studio 2012";"20150610";"11.1";"11.1.2802.16";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Performance Debugger Web Views";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20141202";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.12.10;"Pacote de Idiomas do Microsoft Visual Studio Team Foundation Server 2012 Team Explorer - PTB";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"Ferramenta de Carregamento do Windows Live";"20121129";"14.0";"14.0.8014.1029";"Microsoft Corporation"
10.2.12.10;"Prerequisites for SSDT ";"20150611";"12.0";"12.0.2000.8";"Microsoft Corporation"
10.2.12.10;"Google Talk (remove only)";"";"";"";""
10.2.12.10;"MSVCRT";"20121129";"14.0";"14.0.1468.721";"Microsoft"
10.2.12.10;"Azure Resource Manager Tools (VS 14) - v1.1";"20150611";"1.1";"1.1.0.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure HDInsight Tools for Visual Studio 2013";"20150611";"2.0";"2.0.1000.0";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server Data Tools - enu (11.1.20905.0)";"20150611";"11.1";"11.1.20905.0";"Microsoft Corporation"
10.2.12.10;"Visual Studio Extensions for Windows Library for JavaScript";"20150611";"1.0";"1.0.9202.20789";"Microsoft Corporation"
10.2.12.10;"Python Tools Redirection Template";"20150611";"1.1";"1.1";"Microsoft Corporation"
10.2.12.10;"Visual C++ Compiler/Tools Premium X86 X64 Cross Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Lenovo System Update";"20140605";"5.5";"5.05.0009";"Lenovo"
10.2.12.10;"Java 7 Update 60";"20130527";"7.0";"7.0.600";"Oracle"
10.2.12.10;"Python Tools Redirection Template";"20150611";"0.7";"0.7.4100.000";"Microsoft Corporation"
10.2.12.10;"Visual C++ Library CRT Source Package";"20150611";"14.0";"14.0.22816";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server 2014 Management Objects ";"20150611";"12.0";"12.0.2000.8";"Microsoft Corporation"
10.2.12.10;"Behaviors SDK (Windows) for Visual Studio 2013";"20150611";"12.0";"12.0.50429.0";"Microsoft Corporation"
10.2.12.10;"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"20150611";"4.5";"4.5.51209";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Preparation";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Visual C++ MSBuild Base Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio 2015 RC Test Tools Language Pack - ENU";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
10.2.12.10;"Microsoft Azure Tools for Microsoft Visual Studio 2013 - v2.6";"20150611";"2.6";"2.6.30508.1601";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual Studio Ultimate 2012 XAML UI Designer enu Resources";"20150611";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.12.10;"PreEmptive Analytics Visual Studio Components";"20150610";"1.0";"1.0.2180.1";"PreEmptive Solutions"
10.2.12.10;"Microsoft ASP.NET and Web Frameworks 2013.1 - Visual Studio 2012";"";"";"3.0.11113.0";"Microsoft Corporation"
10.2.12.10;"Microsoft ASP.NET MVC 3 - Visual Studio 2012 Tools Update";"20150610";"3.0";"3.0.30710.0";"Microsoft Corporation"
10.2.12.10;"Microsoft SQL Server 2012 Management Objects ";"20150611";"11.1";"11.1.3000.0";"Microsoft Corporation"
10.2.12.10;"Microsoft Visual C++ 2012 Core Libraries";"20150611";"11.0";"11.0.51106";"Microsoft Corporation"
10.2.12.10;"Visual C++ Professional Shared Templates Resource Package";"20150611";"14.0";"14.0.22823";"Microsoft Corporation"
