10.2.43.239;"Atualização de Segurança para Windows XP (KB2509553)";"20110419";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2510531)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2510581)";"20110419";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2511455)";"20110419";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2524375)";"20110324";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2530548)";"20110616";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2535512)";"20110616";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2536276)";"20110616";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2536276-v2)";"20111111";"";"2";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2541763)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2544521)";"20110616";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2544521)";"20120712";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2544893)";"20110616";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2544893-v2)";"20111111";"";"2";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2562937)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Microsoft Windows (KB2564958)";"20111111";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2566454)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2567053)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2567680)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2570222)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB2570791)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2570947)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2584146)";"20120111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2585542)";"20120131";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2586448)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2592799)";"20111111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2598479)";"20120111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows Internet Explorer 8 (KB2598845)";"20120702";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2603381)";"20120111";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB2618444)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2618444)";"20120702";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2618451)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2619339)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2620712)";"20111215";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2621440)";"20120315";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2624667)";"20111215";"";"1";"Microsoft Corporation"
