10.2.8.220;"AVG Security Toolbar";"";"";"18.7.0.147";"AVG Technologies"
10.2.8.220;"Adobe Reader XI - Português";"20140902";"11.0";"11.0.00";"Adobe Systems Incorporated"
10.2.8.220;"Citrix Receiver(DV)";"20141014";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.8.220;"Software Update for ConfigMgr 2007 SP2 (KB977384)";"20131212";"4.0";"4.0.6487.2157";"Microsoft Corporation"
10.2.8.220;"TextPad 4.7";"20150310";"4.7";"4.7.2";"Nome de sua empresa:"
10.2.8.220;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974";"20140203";"9.0";"9.0.30729.4974";"Microsoft Corporation"
10.2.8.220;"IRPF2014 - Declaração de Ajuste Anual, Final de Espólio e Saída Definitiva do País";"20140325";"1.0";"1.0";"Receita Federal do Brasil"
10.2.8.220;"Windows Deployment Tools";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"SQL Server 2012 Database Engine Services";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Citrix Receiver (HDX Flash Redirection)";"20141014";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.8.220;"Citrix Authentication Manager";"20141014";"5.1";"5.1.0.62606";"Citrix Systems, Inc."
10.2.8.220;"Microsoft SQL Server 2012 Setup (English)";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Microsoft Report Viewer Redistributable 2008 (KB971119)";"20140206";"9.0";"9.0.30731";"Microsoft Corporation"
10.2.8.220;"SQL Server 2012 Database Engine Shared";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 R2 Policies";"20140206";"10.50";"10.50.1600.1";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2008 Setup Support Files ";"20140208";"10.1";"10.1.2731.0";"Microsoft Corporation"
10.2.8.220;"Microsoft Visual Studio 2010 Shell (Isolated) - ENU";"20140203";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.8.220;"Sophos Anti-Virus";"20150806";"10.3";"10.3.15";"Sophos Limited"
10.2.8.220;"Citrix Receiver Inside";"20141014";"4.1";"4.1.0.56471";"Citrix Systems, Inc."
10.2.8.220;"Volume Activation Management Tool";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"Microsoft SQL Server Compact 3.5 SP2 Query Tools ENU";"20140206";"3.5";"3.5.8080.0";"Microsoft Corporation"
10.2.8.220;"Microsoft SQL Server 2012 RsFx Driver";"20140208";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.8.220;"Kits Configuration Installer";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"20140203";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.8.220;"Online Plug-in";"20141014";"14.1";"14.1.0.0";"Citrix Systems, Inc."
10.2.8.220;"Windows System Image Manager on amd64";"20140208";"8.59";"8.59.25584";"Microsoft"
10.2.8.220;"Update for Microsoft .NET Framework 4 Client Profile (KB2468871)";"";"";"1";"Microsoft Corporation"
10.2.8.220;"Update for Microsoft .NET Framework 4 Client Profile (KB2533523)";"";"";"1";"Microsoft Corporation"
10.2.8.220;"Update 4.0.2 for Microsoft .NET Framework 4 Client Profile (KB2544514)";"";"";"1";"Microsoft Corporation"
10.2.8.220;"Security Update for Microsoft .NET Framework 4 Client Profile (KB2894842v2)";"";"";"2";"Microsoft Corporation"
