10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Windows Live Communications Platform";"20121129";"14.0";"14.0.8117.416";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server Compact 3.5 SP2 ENU";"20150210";"3.5";"3.5.8080.0";"Microsoft Corporation"
10.2.11.171;"Microsoft ASP.NET MVC 2 - Visual Studio 2010 Tools";"20150210";"2.0";"2.0.50217.0";"Microsoft Corporation"
10.2.11.171;"Self-service Plug-in";"20150131";"4.1";"4.1.0.41738";"Citrix Systems, Inc."
10.2.11.171;"Java Auto Updater";"20150319";"2.8";"2.8.40.26";"Oracle Corporation"
10.2.11.171;"Evernote v. 5.8.1";"20150129";"5.8";"5.8.1.6061";"Evernote Corp."
10.2.11.171;"Assistente de Conexão do Windows Live";"20121129";"5.0";"5.000.818.5";"Microsoft Corporation"
10.2.11.171;"Microsoft Report Viewer 2012 Runtime";"20150204";"11.0";"11.0.2100.60";"Microsoft Corporation"
10.2.11.171;"Windows Live Call";"20121129";"14.0";"14.0.8117.0416";"Microsoft Corporation"
10.2.11.171;"GBBD Caixa Economica Federal";"20150319";"";"3.12.0.2";""
10.2.11.171;"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"20150204";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Citrix Receiver Updater";"20150131";"4.1";"4.1.0.56461";"Citrix Systems, Inc."
10.2.11.171;"Google Update Helper";"20150715";"1.3";"1.3.28.1";"Google Inc."
10.2.11.171;"Lotus Notes 8.5.1";"20121129";"8.51";"8.51.9271";"IBM "
10.2.11.171;"Microsoft Visual Studio Macro Tools";"20150210";"9.0";"9.0.30729";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server System CLR Types";"20150204";"10.51";"10.51.2500.0";"Microsoft Corporation"
10.2.11.171;"Guardião - Itaú 30 horas";"20150204";"";"3.10.0.1";""
10.2.11.171;"Microsoft Visual C++ 2005 Redistributable";"20121129";"8.0";"8.0.61001";"Microsoft Corporation"
10.2.11.171;"Microsoft SQL Server 2008 R2 Data-Tier Application Project";"20150212";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.2.11.171;"Sophos AutoUpdate";"20150731";"4.3";"4.3.10.27";"Sophos Limited"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.11.171;"Módulo de Proteção - Banco Santander (Brasil) S.A.";"20150128";"";"3.12.0.2";""
10.2.11.171;"Microsoft Visual F# 2.0 Runtime";"20150204";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.11.171;"Microsoft ASP.NET Visual Studio 2010 Finalizer";"20150213";"4.0";"4.0.20710.0";"Microsoft Corporation"
10.2.11.171;"Microsoft Silverlight";"20150210";"5.1";"5.1.10411.0";"Microsoft Corporation"
10.2.11.171;"Security Update for Microsoft .NET Framework 4 Extended (KB2894842v2)";"";"";"2";"Microsoft Corporation"
10.2.11.171;"Google Talk Plugin";"20130527";"3.19";"3.19.1.13088";"Google"
10.2.11.171;"Microsoft ASP.NET MVC 4 Runtime";"20150204";"4.0";"4.0.20710.0";"Microsoft Corporation"
10.2.11.171;"Windows Live Messenger";"20121129";"14.0";"14.0.8117.0416";"Microsoft Corporation"
10.2.11.171;"IBM Lotus Sametime Connect 8.0.2";"20131111";"8.2";"8.02.081205";"IBM"
10.2.11.171;"Google Update Helper";"20150128";"1.3";"1.3.25.11";"Google Inc."
