10.2.13.62;"Intel(R) Processor Graphics";"";"9.17";"9.17.10.3190";"Intel Corporation"
10.2.13.62;"Intel(R) SDK for OpenCL - CPU Only Runtime Package";"";"2.0";"2.0.0.37149";"Intel Corporation"
10.2.13.62;"Broadcom 802.11 Network Adapter";"";"";"6.30.223.201";"Broadcom Corporation"
10.2.13.62;"Conexant HD Audio";"";"";"8.54.48.0";"Conexant"
10.2.13.62;"Lenovo Power Management Driver";"";"";"1.67.10.17";"Lenovo"
10.2.13.62;"Microsoft .NET Framework 4.5";"20150812";"4.5";"4.5.50709";"Microsoft Corporation"
10.2.13.62;"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"20150805";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.13.62;"Microsoft Office Office 64-bit Components 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Office Shared 64-bit MUI (Portuguese (Brazil)) 2010";"20150812";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Policy Platform";"20150805";"1.2";"1.2.3602.0";"Microsoft Corporation"
10.2.13.62;"Microsoft .NET Framework 4.5";"";"";"4.5.50709";"Microsoft Corporation"
10.2.13.62;"Lenovo Bluetooth with Enhanced Data Rate Software";"20150804";"6.5";"6.5.1.4400";"Broadcom Corporation"
10.2.13.62;"Microsoft Visual C++ 2005 Redistributable (x64)";"20150805";"8.0";"8.0.61000";"Microsoft Corporation"
10.2.13.62;"Configuration Manager Client";"20150805";"5.0";"5.00.7804.1000";"Microsoft Corporation"
10.2.13.62;"Microsoft Windows 7 Professional ";"20150804180906.000000-180";"6.1.7601";"6.1.7601";"Microsoft Corporation"
