10.2.101.63;"FTDownloader";"";"";"2.1 Build 26473";"FTDownloader.com"
10.2.101.63;"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer Language Pack - ENU";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.50727";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft Report Viewer Add-On for Visual Studio 2012";"20130215";"11.1";"11.1.2802.16";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20130304";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.2.101.63;"Junk Mail filter update";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2012 Compilers";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Windows Live SOXE Definitions";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft Silverlight 3 SDK";"20130214";"3.0";"3.0.40818.0";"Microsoft Corporation"
10.2.101.63;"Google Talk (remove only)";"";"";"";""
10.2.101.63;"7-Zip 9.20";"20130128";"9.20";"9.20.00.0";"Igor Pavlov"
10.2.101.63;"Windows Software Development Kit DirectX x86 Remote";"20130215";"8.59";"8.59.25584";"Microsoft Corporation"
10.2.101.63;"Intel(R) USB 3.0 eXtensible Host Controller Driver";"";"1.0";"1.0.1.209";"Intel Corporation"
10.2.101.63;"Microsoft SQL Server Compact 3.5 for Devices ENU";"20131125";"3.5";"3.5.5386.0";"Microsoft Corporation"
10.2.101.63;"Skype™ 7.7";"20150810";"7.7";"7.7.103";"Skype Technologies S.A."
10.2.101.63;"Lenovo System Update";"20131206";"5.3";"5.03.0005";"Lenovo"
10.2.101.63;"Java 8 Update 31";"20150123";"8.0";"8.0.310";"Oracle Corporation"
10.2.101.63;"Microsoft SQL Server 2005 Tools Express Edition";"20131125";"9.2";"9.2.3042.00";"Microsoft Corporation"
10.2.101.63;"Microsoft .NET Compact Framework 3.5";"20131125";"3.5";"3.5.7283";"Microsoft Corporation"
10.2.101.63;"TOTVS Folha de Pagamento - 11.52.60";"20140311";"11.52";"11.52.60";"TOTVS"
10.2.101.63;"Microsoft Visual C++ 2012 Microsoft Foundation Class Libraries";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Ultimate 2012 XAML UI Designer enu Resources";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"PreEmptive Analytics Visual Studio Components";"20130215";"1.0";"1.0.2180.1";"PreEmptive Solutions"
10.2.101.63;"Microsoft SQL Server Compact 3.5 Design Tools ENU";"20131125";"3.5";"3.5.5386.0";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET MVC 3 - Visual Studio 2012 Tools Update";"20130215";"3.0";"3.0.30710.0";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++  Compilers 2010 Standard - enu - x86";"20130214";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio 2012 Devenv";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Windows Live Photo Gallery";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Dotfuscator and Analytics Community Edition";"20130215";"5.5";"5.5.4521.29298";"PreEmptive Solutions"
10.2.101.63;"Messenger Companion";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio 2012 Shell (Minimum) Resources";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Controle ActiveX do Windows Live Mesh para Conexões Remotas";"20130125";"15.4";"15.4.5722.2";"Microsoft Corporation"
10.2.101.63;"WCF RIA Services V1.0 SP2";"20130215";"4.1";"4.1.61829.0";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server Compact 3.5 SP2 ENU";"20130214";"3.5";"3.5.8080.0";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET MVC 2 - Visual Studio 2010 Tools";"20130214";"2.0";"2.0.50217.0";"Microsoft Corporation"
10.2.101.63;"Windows Software Development Kit for Windows Store Apps DirectX x86 Remote";"20130215";"8.59";"8.59.25584";"Microsoft Corporation"
10.2.101.63;"Windows Live Essentials";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"MSXML4.0 redistributable";"20130807";"4.0";"4.0.0.0";"SAP"
10.2.101.63;"Windows Live Writer Resources";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Self-service Plug-in";"20140926";"4.1";"4.1.0.41738";"Citrix Systems, Inc."
10.2.101.63;"youtubeadblocker";"20140323";"";"";""
10.2.101.63;"Java Auto Updater";"20150123";"2.8";"2.8.31.13";"Oracle Corporation"
10.2.101.63;"Cisco LEAP Module";"20130128";"1.0";"1.0.19";"Cisco Systems, Inc."
10.2.101.63;"Blend for Visual Studio 2012 ENU resources";"20130215";"5.0";"5.0.30709.0";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server Setup Support Files (English)";"20131125";"9.0";"9.00.3042.00";"Microsoft Corporation"
10.2.101.63;"Update for Microsoft Visual Studio 2012 (KB2781514)";"";"";"11.0.51219";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET Web Pages 2 - Visual Studio 2012 Tools";"20130215";"2.0";"2.0.20710.0";"Microsoft Corporation"
10.2.101.63;"Blend for Visual Studio 2012";"20130215";"5.0";"5.0.30709.0";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET MVC 4 - Visual Studio 2012 Tools";"20130215";"4.0";"4.0.20710.0";"Microsoft Corporation"
