10.2.100.66;"soapUI 4.5.1 4.5.1";"";"4.5";"4.5.1";"SmartBear Software"
10.2.100.66;"Security Update for Windows XP (KB2544521)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2544893)";"20110709";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2544893-v2)";"20120712";"";"2";"Microsoft Corporation"
10.2.100.66;"Security Update for Microsoft Windows (KB2564958)";"20111014";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2566454)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2567053)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2567680)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2570222)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB2570791)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2570947)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2584146)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2585542)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2586448)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2592799)";"20111014";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2598479)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows Internet Explorer 8 (KB2598845)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2603381)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2616676-v2)";"20111014";"";"2";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2618444)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2618444)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2618451)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2619339)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2620712)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2624667)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2631813)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows Internet Explorer 8 (KB2632503)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB2633952)";"20120213";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2646524)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2653956)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2655992)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2659262)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2661254-v2)";"20131019";"";"2";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2661637)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2676562)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2685939)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2686509)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2691442)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2698365)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2699988)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2705219)";"20120817";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2707511)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2712808)";"20120817";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2718523)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2718704)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2719985)";"20120712";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2723135)";"20120817";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2727528)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2731847)";"20120817";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2744842)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2744842)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2749655)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2757638)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2758857)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2770660)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Hotfix for Windows XP (KB2779562)";"20130218";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2780091)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2802968)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB2803821-v2)";"20131019";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Media Player (KB2803821)";"20131019";"";"";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2807986)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Update for Windows XP (KB2808679)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2813345)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2817183)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2817183)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2820197)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2820917)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2829530)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2829530)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2834886)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2838727)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2838727)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2845187)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2846071)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2846071)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2847311)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2849470)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2850869)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2859537)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2862152)";"20150723";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2862330)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2862335)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 7 (KB2862772)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows Internet Explorer 8 (KB2862772)";"20130924";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2864063)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2868038)";"20131019";"";"1";"Microsoft Corporation"
10.2.100.66;"Security Update for Windows XP (KB2868626)";"20150723";"";"1";"Microsoft Corporation"
