10.22.29.2;"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"20121207";"9.0";"9.0.30729.4148";"Microsoft Corporation"
10.22.29.2;"Junk Mail filter update";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"MySQL Connector J";"20140224";"5.1";"5.1.27";"Oracle Corporation"
10.22.29.2;"Windows Live SOXE Definitions";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"Microsoft Silverlight 3 SDK";"20130116";"3.0";"3.0.40818.0";"Microsoft Corporation"
10.22.29.2;"Visual Studio .NET Professional 2003 - English";"20130116";"7.1";"7.1.3088";"Microsoft"
10.22.29.2;"7-Zip 9.20";"20130115";"9.20";"9.20.00.0";"Igor Pavlov"
10.22.29.2;"Google Toolbar for Internet Explorer";"";"";"7.5.6710.2136";"Google Inc."
10.22.29.2;"Lenovo System Update";"20130507";"5.2";"5.02.0011";"Lenovo"
10.22.29.2;"Java 7 Update 67";"20141008";"7.0";"7.0.670";"Oracle"
10.22.29.2;"Java(TM) 6 Update 38";"20130115";"6.0";"6.0.380";"Oracle"
10.22.29.2;"CAD Drawing Display";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Block Diagrams";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Lenovo_Wireless_Driver";"20121207";"";"1.02.01";"Lenovo"
10.22.29.2;"Help for Visio 2000 (HTML Help)";"20130930";"6.0";"6.0.0.1";"Visio Corporation"
10.22.29.2;"Advantage Data Architect v11.10";"20130807";"11.10";"11.10.0001";"Sybase, Inc."
10.22.29.2;"Project Schedules";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Microsoft Visual C++  Compilers 2010 Standard - enu - x86";"20140908";"10.0";"10.0.40219";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Adobe AIR";"20150804";"18.0";"18.0.0.180";"Adobe Systems Incorporated"
10.22.29.2;"Windows Live Photo Gallery";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"MySQL Workbench 6.0";"20140224";"6.0";"6.0.8";"Oracle Corporation"
10.22.29.2;"Módulo de Segurança - Banco do Brasil";"20140725";"";"3.10.0.1";""
10.22.29.2;"Intel(R) Identity Protection Technology 1.2.22.0";"20121207";"1.2";"1.2.22.0";"Intel Corporation"
10.22.29.2;"Controle ActiveX do Windows Live Mesh para Conexões Remotas";"20121207";"15.4";"15.4.5722.2";"Microsoft Corporation"
10.22.29.2;"Microsoft SQL Server Compact 3.5 SP2 ENU";"20130116";"3.5";"3.5.8080.0";"Microsoft Corporation"
10.22.29.2;"TextPad 6";"20130528";"6.1";"6.1.3";"Helios"
10.22.29.2;"Microsoft ASP.NET MVC 2 - Visual Studio 2010 Tools";"20130116";"2.0";"2.0.50217.0";"Microsoft Corporation"
10.22.29.2;"Windows Live Essentials";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"Google Talk Plugin";"20130115";"3.10";"3.10.2.10212";"Google"
10.22.29.2;"Windows Live Writer Resources";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"Java Auto Updater";"20140716";"2.8";"2.8.11.12";"Oracle, Inc."
10.22.29.2;"MySQL Installer";"20140224";"1.3";"1.3.5.0";"Oracle Corporation"
10.22.29.2;"Ask Toolbar";"20131104";"12.6";"12.6.0.11";"APN, LLC"
10.22.29.2;"Microsoft Office 2007 Primary Interop Assemblies";"20130116";"12.0";"12.0.4518.1014";"Microsoft Corporation"
10.22.29.2;"Create Recovery Media";"20121207";"1.20";"1.20.0.00";"Lenovo Group Limited"
10.22.29.2;"Corel DVD MovieFactory 7";"20121207";"7.0";"7.0.0";"Nome da empresa:"
10.22.29.2;"Block Diagrams Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Flowcharts Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Forms and Charts Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Maps Help";"20130930";"1.0";"1.0.0.0";"Visio Corporation"
10.22.29.2;"Network Diagrams Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Office Layout Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Organization Charts Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Project Schedules Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Program Files Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Shape Explorer Help";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Microsoft Visual Studio 2010 Service Pack 1";"20140908";"10.0";"10.0.40219";"Microsoft Corporation"
10.22.29.2;"GBBD Caixa Economica Federal";"20150409";"";"3.12.0.2";""
10.22.29.2;"Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219";"20140908";"10.0";"10.0.40219";"Microsoft Corporation"
10.22.29.2;"MySQL for Visual Studio 1.1.3";"20140224";"1.1";"1.1.3";"Oracle"
10.22.29.2;"Google Update Helper";"20150715";"1.3";"1.3.28.1";"Google Inc."
10.22.29.2;"swMSM";"20140725";"12.0";"12.0.0.1";"Adobe Systems, Inc"
10.22.29.2;"DAO";"20130930";"1.0";"1.0.0.1";"Visio Corporation"
10.22.29.2;"Program Files";"20130930";"6.0";"06.00.1001";"Microsoft Corporation"
10.22.29.2;"Windows Live Mesh";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"Intel(R) Management Engine Components";"";"8.0";"8.0.3.1427";"Intel Corporation"
10.22.29.2;"Lenovo Registration";"20121207";"1.0";"1.0.4";"Lenovo Inc."
10.22.29.2;"Microsoft Visual Studio 2010 Premium - ENU";"20140909";"10.0";"10.0.40219";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2529927)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2542054)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2548139)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2549864)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2635973)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Security Update for Microsoft Visual Studio 2010 Premium - ENU (KB2644980)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Security Update for Microsoft Visual Studio 2010 Premium - ENU (KB2645410)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Microsoft Visual Studio 2010 Premium - ENU (KB2890573)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Critical Update for Microsoft Visual Studio 2010 Premium - ENU (KB2938807)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Windows Live SOXE";"20121207";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.22.29.2;"Microsoft Visual J# 2.0 Redistributable Package";"20130116";"2.0";"2.0.50727";"Microsoft Corporation"
10.22.29.2;"Microsoft Visual Studio Macro Tools";"20140904";"9.0";"9.0.30729";"Microsoft Corporation"
10.22.29.2;"Security Update for Microsoft Visual Studio Macro Tools (KB2669970)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Microsoft Visual C++ 2005 Redistributable";"20140904";"8.0";"8.0.61001";"Microsoft Corporation"
10.22.29.2;"Integrated Camera";"20121207";"";"1.00.0000";"Vimicro Corporation"
10.22.29.2;"Microsoft SQL Server 2008 R2 Management Objects";"20140908";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.22.29.2;"Custom Properties Editor";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Page Layout Wizard";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Property Reporting Wizard";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Save as HTML";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Database Wizard";"20130930";"6.0";"6.0.1000";"Visio Corporation"
10.22.29.2;"Graphics Filters";"20130930";"1.0";"1.0.0.0";"Visio Corporation"
10.22.29.2;"Microsoft SQL Server 2008 R2 Data-Tier Application Project";"20140908";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.22.29.2;"MySQL Examples and Samples 5.6";"20140224";"5.6";"5.6.16";"Oracle Corporation"
10.22.29.2;"Sophos AutoUpdate";"20150804";"4.3";"4.3.10.27";"Sophos Limited"
10.22.29.2;"Visio Core Files";"20130930";"6.0";"06.00.1000";"Visio Corporation"
10.22.29.2;"Visio";"20130930";"1.0";"1.0.0.1";"Visio Corporation"
10.22.29.2;"Message Center Plus";"20121207";"3.0";"3.0.0012.00";"Lenovo Group Limited"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.22.29.2;"Módulo de Proteção - Banco Santander (Brasil) S.A.";"20150626";"";"3.12.1.2";""
10.22.29.2;"Windows Live PIMT Platform";"20121207";"15.4";"15.4.3508.1109";"Microsoft Corporation"
10.22.29.2;"Microsoft Visual F# 2.0 Runtime";"20140908";"10.0";"10.0.40219";"Microsoft Corporation"
10.22.29.2;"Microsoft SQL Server System CLR Types";"20140908";"10.50";"10.50.1750.9";"Microsoft Corporation"
10.22.29.2;"Realtek Ethernet Controller Driver";"20121207";"";"7.37.1229.2010";"Realtek"
