10.2.101.20;"BRQ\livaniosilva"
10.2.101.214;"BRQ\fohana"
10.2.101.217;"BRQ\gabrielbittencourt"
10.2.101.225;"BRQ\vanessafigueira"
10.2.101.226;"BRQ\diogosouza"
10.2.101.227;"BRQ\hugop"
10.2.101.229;"BRQ\marcianascimento"
10.2.101.22;"BRQ\gsoliveira"
10.2.101.241;"BRQ\vamorim"
10.2.101.243;"BRQ\sergiosilva"
10.2.101.244;"BRQ\ricardocouto"
10.2.101.247;"BRQ\mfonseca"
10.2.101.253;"BRQ\sergiosilva"
10.2.101.254;"BRQ\julianaguimaraes"
10.2.10.125;"BRQ\eliasalves"
10.2.101.2;"BRQ\anamarques"
10.2.10.12;"BRQ\dmenna"
10.2.10.130;"BRQ\nayaneramos"
10.2.10.131;"BRQ\jeremiassantos"
10.2.10.134;"BRQ\felipekuhnen"
10.2.10.136;"BRQ\fatherino"
10.2.101.36;"BRQ\rbleckmann"
10.2.10.142;"BRQ\rcsilveira"
10.2.101.43;"BRQ\rpedrosa"
10.2.101.44;"BRQ\gcarmo"
10.2.10.146;"BRQ\Rgoulart"
10.2.101.46;"BRQ\tamiriscanejo"
10.2.101.51;"BRQ\pmarques"
10.2.101.55;"BRQ\luiza"
10.2.10.156;"BRQ\diegoeduardo"
10.2.101.58;"BRQ\rfreitas"
10.2.101.5;"BRQ\pedrosantiago"
10.2.101.60;"BRQ\cristianealmeida"
10.2.101.61;"BRQ\hugop"
10.2.101.62;"BRQ\jgomes"
10.2.10.163;"BRQ\adrianodib"
10.2.101.63;"BRQ\mgsouza"
10.2.101.64;"BRQ\josesantos"
10.2.101.66;"BRQ\pcaldeira"
10.2.10.16;"BRQ\wallysonrenato"
10.2.10.173;"BRQ\lucaseduardo"
10.2.101.77;"BRQ\igorsilva"
10.2.101.81;"BRQ\tcruz"
10.2.101.82;"BRQ\lucasrodrigues"
10.2.101.85;"BRQ\vanessafigueira"
10.2.101.86;"BRQ\mariobruno"
10.2.10.190;"BRQ\kenjialberto"
10.2.101.92;"afonseca"
10.2.10.197;"BRQ\wsantiago"
10.2.10.19;"BRQ\esrocha"
10.2.101.9;"BRQ\niltongoncalves"
10.2.10.202;"BRQ\mmorgado"
10.2.10.208;"BRQ\thiagohsouza"
10.2.10.209;"BRQ\pmiranda"
10.2.102.100;"BRQ\aantunes"
10.2.102.102;"BRQ\aantunes"
10.2.102.104;"BRQ\rdelboni"
10.2.102.107;"BRQ\rmoliveira"
10.2.102.110;"BRQ\lpalmeiro"
10.2.102.113;"BRQ\vbezerra"
10.2.102.115;"BRQ\vbezerra"
10.2.102.116;"BRQ\pascoal"
10.2.102.126;"BRQ\vvellozo"
10.2.102.130;"BRQ\raulmmorais"
10.2.102.134;"BRQ\mvianna"
10.2.102.136;"BRQ\alexandrevenancio"
10.2.102.145;"BRQ\vpsouza"
10.2.10.214;"BRQ\rafaelwitt"
10.2.102.152;"BRQ\flaviosilviano"
10.2.102.153;"BRQ\hugocamargo"
10.2.102.156;"BRQ\apsoares"
10.2.102.158;"BRQ\eprata"
10.2.102.161;"BRQ\giselesabb"
10.2.102.162;"BRQ\augustomagalhaes"
10.2.102.163;"BRQ\giselesabb"
10.2.102.165;"BRQ\ricardocouto"
10.2.102.166;"BRQ\daniellefernandes"
10.2.102.167;"BRQ\denislopes"
10.2.102.168;"BRQ\andreafrazao"
10.2.102.174;"BRQ\rafaelassumpcao"
10.2.102.177;"BRQ\sergiopereira"
10.2.102.178;"BRQ\andersonas"
10.2.102.195;"BRQ\jgauciniski"
10.2.102.197;"BRQ\vivianyrodrigues"
10.2.102.205;"BRQ\monica"
10.2.102.20;"BRQ\apezzino"
10.2.102.210;"BRQ\simonegomes"
10.2.102.213;"BRQ\rsampaio"
10.2.102.218;"BRQ\marcellecaroline"
10.2.102.222;"BRQ\reamco"
10.2.102.225;"BRQ\walmirrocha"
10.2.102.227;"BRQ\vfraga"
10.2.102.228;"BRQ\afonseca"
10.2.102.231;"BRQ\leandrotavares"
10.2.102.236;"BRQ\rpizao"
10.2.102.247;"BRQ\joaomarzullo"
10.2.102.24;"BRQ\mfonseca"
10.2.102.26;"BRQ\sandraalmeida"
10.2.10.228;"BRQ\diegocordeiro"
10.2.10.22;"BRQ\pmiranda"
