10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.12.36;"Microsoft Visual F# 2.0 Runtime";"20150601";"10.0";"10.0.40219";"Microsoft Corporation"
10.2.12.36;"Microsoft ASP.NET Visual Studio 2010 Finalizer";"20150605";"4.0";"4.0.20710.0";"Microsoft Corporation"
10.2.12.36;"Realtek Ethernet Controller Driver";"20150417";"";"7.37.1229.2010";"Realtek"
10.2.12.36;"Microsoft Office Standard 2010";"20150514";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.12.36;"Update for Microsoft Office 2010 (KB2687275) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2881071) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2810073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Definition Update for Microsoft Office 2010 (KB3015642) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2589375) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2999439) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2965301) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2687423) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft InfoPath 2010 (KB2817369) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2794737) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2880971) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Word 2010 (KB2965237) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft OneNote 2010 (KB2956205) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Excel 2010 (KB2965240) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2965291) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2850016) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2553140) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2597087) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2589386) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2920748) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2999412) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Security Update for Microsoft Office 2010 (KB2965242) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2883019) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Outlook 2010 (KB3015585) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Update for Microsoft Office 2010 (KB2589298) 32-Bit Edition";"";"";"";"Microsoft"
10.2.12.36;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
