10.2.67.80;"Update for Microsoft Office 2010 (KB2794737) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2880971) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Definition Update for Microsoft Office 2010 (KB3054883) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2850016) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553140) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB3054873) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2597087) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2589386) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Excel 2010 (KB3054981) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2920748) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB3054848) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2883019) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2589282) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2589298) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Outlook Social Connector 2010 (KB2553308) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Filter Pack 2.0 (KB2881026) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2825635) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB3054834) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft PowerPoint 2010 (KB2920812) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Outlook 2010 (KB3054976) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Word 2010 (KB2553428) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Word MUI (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Excel 2010 (KB2956084) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Word 2010 (KB2553428) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Proof (English) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB3054977) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Proof (Portuguese (Brazil)) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2956073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Microsoft Office Proof (Spanish) 2010";"20150730";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Security Update for Microsoft Office 2010 (KB2956073) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft OneNote 2010 (KB2965297) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2965301) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Filter Pack 2.0 (KB2881026) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2589352) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft SharePoint Workspace 2010 (KB2760601) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Service Pack 2 for Microsoft Office 2010 (KB2687455) 32-Bit Edition";"";"";"";"Microsoft"
10.2.67.80;"Update for Microsoft Office 2010 (KB2553347) 32-Bit Edition";"";"";"";"Microsoft"
