10.2.100.191;"Microsoft Office Project Professional 2010";"20150821";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.100.191;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150821";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project Professional 2007";"";"";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project Professional 2007";"20150727";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.100.209;"Microsoft Office Project MUI (Portuguese (Brazil)) 2007";"20150202";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.100.209;"Microsoft Office Project Professional 2007";"";"";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project Professional 2007";"20150727";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.100.209;"Microsoft Office Project MUI (Portuguese (Brazil)) 2007";"20150202";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.100.209;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.100.222;"Microsoft Project Professional 2010";"";"";"14.0.4763.1000";"Microsoft Corporation"
10.2.100.222;"Microsoft Office Project Professional 2010";"20150813";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.100.222;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150805";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.100.74;"Microsoft Project Professional 2010";"";"";"14.0.6029.1000";"Microsoft Corporation"
10.2.100.74;"Microsoft Office Project Professional 2010";"20150504";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.100.74;"Microsoft Project 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.100.74;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150206";"14.0";"14.0.6029.1000";"Microsoft Corporation"
10.2.100.74;"Microsoft Project 2010 Service Pack 1 (SP1)";"";"";"";"Microsoft"
10.2.100.86;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.100.86;"Microsoft Office Project Professional 2010";"20150813";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.100.86;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150716";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.134;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.134;"Microsoft Office Project Professional 2010";"20150610";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.134;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150610";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.169;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.169;"Microsoft Office Project Professional 2010";"20150817";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.169;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150723";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.170;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.170;"Microsoft Office Project Professional 2010";"20150716";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.170;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150716";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.174;"Microsoft Project Professional 2010";"";"";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.174;"Microsoft Office Project Professional 2010";"20150725";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.174;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150725";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.195;"Microsoft Office Project Professional 2007";"";"";"12.0.6612.1000";"Microsoft Corporation"
10.2.101.195;"Microsoft Office Project Professional 2007";"20150819";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.101.195;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.101.195;"Microsoft Office Project MUI (Portuguese (Brazil)) 2007";"20150311";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.101.195;"Microsoft Office Project 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.101.19;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.19;"Microsoft Office Project Professional 2010";"20150813";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.19;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150721";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.201;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.201;"Microsoft Office Project Professional 2010";"20150813";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.201;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150721";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.22;"Microsoft Project Professional 2010";"";"";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.22;"Microsoft Office Project Professional 2010";"20150723";"14.0";"14.0.7015.1000";"Microsoft Corporation"
10.2.101.22;"Microsoft Office Project MUI (Portuguese (Brazil)) 2010";"20150723";"14.0";"14.0.7015.1000";"Microsoft Corporation"
