10.2.75.137;"Microsoft Visual C++ 2005 ATL Update kb973923 - x86 8.0.50727.4053";"20110824";"8.0";"8.0.50727.4053";"Microsoft Corporation"
10.2.75.137;"Sophos AutoUpdate";"20150803";"4.3";"4.3.10.27";"Sophos Limited"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2280741)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2284668)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2295689)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2420513)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2452649)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2455033)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB2485545)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982517)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB982721)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Hotfix for Visual C++ Standard 2010 Beta 1 - ENU (KB983233)";"";"";"1";"Microsoft Corporation"
10.2.75.137;"Módulo de Proteção - Banco Santander (Brasil) S.A.";"20140806";"";"3.9.0.1";""
10.2.75.137;"Windows Live PIMT Platform";"20120412";"15.4";"15.4.3508.1109";"Microsoft Corporation"
10.2.75.137;"MSXML 4.0 SP2 (KB954430)";"20110824";"4.20";"4.20.9870.0";"Microsoft Corporation"
10.2.75.137;"MVC Toolbar";"20120711";"1.15";"1.15.2.0";"Ask.com"
10.2.75.137;"MSVCRT";"20120412";"15.4";"15.4.2862.0708";"Microsoft"
10.2.75.137;"Microsoft Office Access MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Excel MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Atualização do produto Microsoft Office Excel 2007 Help (KB963678)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office SharePoint Designer MUI (Portuguese (Brazil)) 2007";"20150615";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Security Update for Microsoft Office Compatibility Pack Service Pack 3 (KB2863812) 32-Bit Edition ";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office SharePoint Designer 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office PowerPoint MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Atualização do produto Microsoft Office Powerpoint 2007 Help (KB963669)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Publisher MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Outlook MUI (Portuguese (Brazil)) 2007";"20141003";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Atualização do produto Microsoft Office Outlook 2007 Help (KB963677)";"";"";"";"Microsoft"
10.2.75.137;"Update for Microsoft Office Outlook 2007 (KB2687404) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Word MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Atualização do produto Microsoft Office Word 2007 Help (KB963665)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (English) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office Proofing Tools 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proofing Tools 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office Proofing Tools 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proof (Spanish) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office Proofing Tools 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proofing Tools 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Proofing (Portuguese (Brazil)) 2007";"20140224";"12.0";"12.0.4518.1019";"Microsoft Corporation"
10.2.75.137;"Microsoft Office InfoPath MUI (Portuguese (Brazil)) 2007";"20141002";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office Shared MUI (Portuguese (Brazil)) 2007";"20150615";"12.0";"12.0.6612.1000";"Microsoft Corporation"
10.2.75.137;"Update for Microsoft Office 2007 suites (KB2596787) 32-Bit Edition";"";"";"";"Microsoft"
10.2.75.137;"Microsoft Office 2007 Service Pack 3 (SP3)";"";"";"";"Microsoft"
10.2.75.137;"Security Update for Microsoft Office Compatibility Pack Service Pack 3 (KB2863812) 32-Bit Edition ";"";"";"";"Microsoft"
