chave,_IP,_CPU,_memoria,_disco,_versaoSO,_site
RJSERVER18,10.2.17.218,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,4GB,C: 170 GB D: 50 GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
RJSERVER221,10.2.17.221,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 80 GB D: 50 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RJSERVER25,10.2.17.225,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,6GB,C: 50GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RJSRVSAPQA226,10.2.17.226,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,8GB,C: 20 GB D: 20 GB I: 60 GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
RJSRVSAPQD227,10.2.17.227,CPU :Intel(R) Pentium(R) III processor - 4 socket x  core x  logical proc,4GB,C: 20 GB D: 20 GB I: 300 GB,Microsoft(R) Windows(R) Server 2003 Enterprise x64 Edition,BV
WSUSPROD102BV,10.2.17.241,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 60 GB E: 500 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
DESKTOP_STORAGE,10.2.65.31,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,3GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
BVSERVER1,10.2.65.201,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,2GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
WSUSPROD102BV,10.2.65.203,CPU :Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz - 2 socket x 4 core x 4 logical proc,12GB,C: 60 GB E: 500 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
BVSERVER7,10.2.65.207,CPU :Intel(R) Xeon(R) CPU E31220 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,16GB,C: 466 GB F: 2794 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
ADPROD208BV,10.2.65.208,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
BVSERVER12,10.2.65.212,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 4 core x 4 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SAPPROD1,10.200.1.1,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 8 core x 8 logical proc,24GB,C: 50 GB D: 30 GB E: 10 GB F: 550 GB G: 40 GB H: 5 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RMPRODAPP2,10.200.1.2,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 73GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SIPRODDB3,10.200.1.3,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 6 core x 6 logical proc,12GB,C: 40 GB D: 100 GB E: 120 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SIPRODAPP4,10.200.1.4,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 49GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
RMPRODKEY5,10.200.1.5,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,4GB,C: 20GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
BIPRODDB6,10.200.1.6,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 8 core x 8 logical proc,20GB,C: 80 GB D: 80 GB E: 51 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
MOEBIUS,10.200.1.8,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 8 socket x 8 core x 8 logical proc,10GB,C: 30 GB D: 1198 GB E: 20 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1369,10.200.1.10,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
PORTALPRODAPP13,10.200.1.13,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 4 core x 4 logical proc,4GB,C: 60 GB D: 31 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
PORTALPRODDB14,10.200.1.14,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 8 socket x 8 core x 8 logical proc,12GB,C: 55 GB D: 31 GB E: 31 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
PORTALPRODAPP15,10.200.1.15,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x 4 core x 4 logical proc,4GB,C: 41 GB D: 31 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1371,10.200.1.16,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50 GB D: 70 GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
RMPRODJOB21,10.200.1.21,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 8 core x 8 logical proc,6GB,C: 60GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV1257,10.200.1.22,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BV
SRV15592,10.200.1.24,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 60GB,Microsoft Windows Server 2012 R2 Standard,BV
SPSERVER248,10.200.1.248,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 35 GB D: 130 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,BV
WDSPROD102PP,10.2.73.102,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,8GB,C: 100 GB E: 150 GB,Microsoft Windows Server 2008 R2 Enterprise ,PAN
ADPROD201PP,10.2.73.201,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 70GB,Microsoft Windows Server 2008 R2 Enterprise ,PAN
PPSERVER3,10.2.73.203,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,10GB,C: 60 GB D: 150 GB F: 200 GB,Microsoft Windows Server 2008 R2 Enterprise ,PAN
RJSERVER99,10.2.97.99,CPU :Intel(R) Xeon(R) CPU E31220 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,16GB,C: 466 GB D: 2795 GB,Microsoft Windows Server 2008 R2 Enterprise ,TEO
ADPROD201TEO,10.2.97.201,CPU :AMD Opteron(tm) Processor 4180 - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2012 R2 Standard,TEO
ADPROD202TEO,10.2.97.202,CPU :AMD Opteron(tm) Processor 4180 - 1 socket x 2 core x 2 logical proc,3GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,TEO
SRV1444,10.2.97.207,CPU :Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz - 1 socket x 2 core x 2 logical proc,3GB,C: 298GB,Microsoft Windows 7 Professional ,TEO
ADPROD201DF,10.2.25.201,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
DFSERVER3,10.22.25.203,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
DFSERVER4,10.22.25.204,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 35GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
DFSRVCEF206,10.22.25.206,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,2GB,C: 40GB,Microsoft® Windows Server® 2008 Enterprise ,BSB
DFSERVER207,10.22.25.207,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 2048GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
DFSERVER208,10.22.25.208,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
DFSRVCEF225,10.22.25.225,CPU :       Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 30GB,Microsoft Windows XP Professional,BSB
DFSERVER228,10.22.25.228,CPU :Intel(R) Xeon(R) CPU E31220 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 466 GB E: 2794 GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
SRV3228,10.22.25.245,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,BSB
ADPROD201REC,10.2.89.201,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,2GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
RECSERVER3,10.2.89.203,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 2 core x 2 logical proc,6GB,C: 110 GB E: 100 GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
RECSERVER4,10.2.89.204,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,2GB,C: 50GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
RECSERVER6,10.2.89.206,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,4GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
WSUSPROD207REC,10.2.89.207,CPU :Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz - 1 socket x 2 core x 4 logical proc,8GB,C: 98 GB D: 368 GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
RECSERVER8,10.2.89.208,CPU :Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,12GB,C: 466 GB E: 1863 GB,Microsoft Windows Server 2008 R2 Enterprise ,REC
VMSANEPAR01,10.2.8.111,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,3GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
VMSANEPAR02,10.2.8.112,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,4GB,C: 40GB,Microsoft Windows 7 Professional ,MAL
VMSANEPAR03,10.2.8.113,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,4GB,C: 40GB,Microsoft Windows 7 Professional ,MAL
VMSANEPAR04,10.2.8.114,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,4GB,C: 40GB,Microsoft Windows 7 Professional ,MAL
VMBOTICARIO01,10.2.8.116,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,3GB,C: 40GB,Microsoft Windows 7 Professional ,MAL
VMBOTICARIO02,10.2.8.117,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,3GB,C: 40GB,Microsoft Windows 7 Professional ,MAL
VMGVT01,10.2.8.118,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,16GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
SRV15626,10.2.8.119,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 1 socket x 1 core x 1 logical proc,8GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
SRV15627,10.2.8.120,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 4 core x 4 logical proc,8GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
SRV15629,10.2.8.121,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
SRV15630,10.2.8.122,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV15634,10.2.8.123,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV15635,10.2.8.124,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 40GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV15764,10.2.8.125,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,8GB,C: 30GB,Microsoft Windows 7 Professional ,MAL
ADPROD199MAL,10.2.8.199,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2012 R2 Standard,MAL
ADPROD202MAL,10.2.8.202,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 50GB,Microsoft Windows Server 2012 R2 Standard,MAL
MALSERVER4,10.2.8.204,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 40 GB E: 171 GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
MALSERVER5,10.2.8.205,CPU :Intel(R) Pentium(R) III processor - 2 socket x  core x  logical proc,3GB,C: 25 GB E: 100 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,MAL
SRV1504,10.2.8.206,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 4 socket x  core x  logical proc,4GB,C: 35GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,MAL
MALSERVER8,10.2.8.208,CPU :Intel(R) Xeon(R) CPU           X3330  @ 2.66GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 59 GB D: 1863 GB E: 407 GB,Microsoft Windows Server 2012 R2 Standard,MAL
MALSERVER9,10.2.8.209,CPU :Intel(R) Xeon(R) CPU           X3330  @ 2.66GHz - 1 socket x 4 core x 4 logical proc,8GB,C: 203 GB D: 1660 GB E: 466 GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
ADPROD210MAL,10.2.8.210,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 4 core x 4 logical proc,4GB,C: 40GB,Microsoft Windows Server 2012 R2 Standard,MAL
MALSERVER11,10.2.8.211,CPU :Intel(R) Pentium(R) D CPU 2.80GHz - 2 socket x  core x  logical proc,1GB,C: 75GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,MAL
SRV12723,10.2.8.216,CPU :Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz - 2 socket x 2 core x 2 logical proc,3GB,C: 50GB,Microsoft Windows Server 2012 R2 Standard,MAL
SRV1042,10.2.8.220,CPU :Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz - 1 socket x 4 core x 4 logical proc,16GB,C: 465 GB D: 1862 GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV1505,10.2.8.224,CPU :Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz - 1 socket x 2 core x 4 logical proc,6GB,C: 464GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV15792,10.2.8.237,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
SRV3930,10.2.8.243,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 30GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
MALSERVER44,10.2.8.244,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x  core x  logical proc,4GB,C: 15 GB E: 80 GB,Microsoft(R) Windows(R) Server 2003, Enterprise Edition,MAL
MALSERVER47,10.2.8.247,CPU :Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz - 1 socket x 4 core x 8 logical proc,8GB,C: 931GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
MALCEFSRV01,10.22.9.201,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 30 GB E: 100 GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
MALCEFSRV03,10.22.9.203,CPU :Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz - 2 socket x 2 core x 2 logical proc,4GB,C: 130 GB E: 100 GB,Microsoft Windows Server 2008 R2 Enterprise ,MAL
